Module,Feature Component,User story,Acceptance Criteria,Test Area,staging status,comment,production status,,comment
B2B Admin,Merchant Identity,"As an Admin, I want to capture business and account holder details so that the merchant's profile is complete for KYC and communication.","• System must capture: Company Name, Address, Email, and Phone.
• System must capture Account Holder Details: Full Name, Email, and Phone.",Functional: Form validation & Duplicate entry prevention.,,,,,
B2B Admin,Financial Linking,"As an Admin, I want to link a Waya account and assign a Merchant ID so that the partner is correctly identified in the financial system.","• Admin must input a valid Waya Merchant Account Number.
• System must auto-generate or manually assign a Merchant ID.",Integration: Database lookup for account validity.,,,,,
B2B Admin,Team Governance,"As an Admin, I want to manage B2B Team Members so that I can control who has authorized access under a specific merchant.","• Admin must be able to View, Add, Edit, and Delete ""B2B Team Members"" specifically associated with that merchant.",Permissions: Role-based access control (RBAC).,,"while testing the add team member feature; team member was successfully added but no data was returned after the action, suggesting the API response is not returning the expected payload.",,,
B2B Admin,IP Whitelisting,"As an Admin, I want to whitelist merchant IP addresses so that API requests are restricted to authorized environments.","• System must provide a form to add up to 4 distinct IP addresses.
• Backend Rule: IPs must be validated; status must show as ""Pending"" until ""Confirmed"" by the backend.",Security: Network restriction & IPv4/IPv6 formatting.,,,,,
B2B Admin,Product Assignment,"As an Admin, I want to toggle specific payment products so that I can customize the services available to each merchant.","• Admin can select: Pay with Wayabank, PayOut, Static VA, Dynamic VA, and Collection via VA.
• Each product must have an individual Active/Deactivate toggle.",Business Logic: Entitlement verification (checking if unauthorized products are blocked).,,When deactivating each product. no change was done. the system still remains the same,,,
B2B Admin,Credential Management,"As an Admin, I want to manage API keys for each product so that merchants can securely authenticate their ""Test"" and ""Live"" transactions.","• System must generate Live Public/Secret Keys and Test Public/Secret Keys per product.
• Secret keys must be masked; ""Copy"" and ""Regenerate"" buttons must be functional.",Security: Encryption at rest; Key rotation logic.,,,,,
B2B Admin,Environment Control,"As an Admin, I want to switch products between Live and Test modes so that I can manage the merchant's integration lifecycle.",• Admin must be able to toggle the specific product state between Live and Test mode.,UAT: UI reflection of environment state.,,,,,
B2B Admin,Pricing Config,"As an Admin, I want to set unique pricing for each product so that I can apply custom commercial terms to different B2B subscribers.",• A dedicated sub-form to configure unique pricing/transaction fees for each of the B2B products subscribed.,Financial: Fee calculation accuracy.,,,,,
B2B Admin,Bulk Transfer Limits,"As an Admin, I want to enforce daily transfer limits so that I can mitigate risk and maintain system stability for bulk transfers.","• System must enforce a hard limit of 100 lines per day for B2B bulk transfers.
• Total amount must be validated against the merchant’s global transfer limit.",Stress/Boundary: Attempting 101 lines; checking daily reset logic.,,UI done but awaiting  API implemation,,,
B2B Admin,Advanced Filtering,"As an Admin, I want to filter and view transaction history so that I can monitor merchant activity and troubleshoot specific payments.","• View all transactions per product/merchant filtered by: Merchant Name, Date Range, Product Type, and Total Amount.",Performance: Query optimization for high-volume data.,,View transactions is not working yet - having API errors from the backend,,,
B2B Admin,Reporting & Export,"As an Admin, I want to export and share transaction reports so that I can provide offline documentation to stakeholders or merchants.","• Ability to generate and export transaction data to Excel or PDF.
• Functionality to Print or Share reports directly from the admin portal.",Compatibility: Export file formatting & print styling.,,UI done but awaiting  API implemation,,,
B2B Admin,Product Statistics,"As an Admin, I want a real-time dashboard so that I have immediate visibility into product performance and volume statistics.",• Real-time (or near real-time) dashboard showing success/failure rates and volume statistics per product.,Data Visualization: Accuracy of KPI metrics.,Fail,I'm unable to view product perfermance volume and count because the transfer button has not yet been implemented.,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Feature,User story,Acceptance Criteria,Test Area,,,,,
B2B Customer B2B,First-Time Login,"As a new Merchant User, I want to set a secure password upon my first login so that my account access is protected from the start.",• System requires current password (from Admin) + New Password + Password Verification on first entry.,"Security: Password complexity, Force-change logic.",,,,,
B2B Customer B2B,Credential Recovery,"As a Merchant User, I want a reliable recovery process so that I can regain access to my account if I forget my password.","• Robust ""Forgot Password"" and ""Reset Password"" workflows via registered email.","Functional: Token expiry, Email delivery.",,,,,
B2B Customer B2B,Profile Settings,"As a Merchant User, I want to manage my profile and security so that I can keep my personal credentials and basic settings updated.","• User can update personal password and manage basic account settings from the ""Settings"" tab.",Usability: UI flow for password updates.,,Not yet implemented,,,
B2B Customer B2B,User Invitation,"As a Merchant Owner, I want to invite my staff to the portal so that they can assist in managing business operations.","• Ability to add team members via Email, Phone, First Name, and Last Name.","Functional: Email invitation links, user creation.",,Not yet implemented,,,
B2B Customer B2B,Granular Roles,"As a Merchant Owner, I want to assign specific functional roles so that I can maintain a separation of duties for security and auditing.","• Dashboard Role: View-only, Downloads, Share, Export.
• Bulk Transfer Role: Distinct roles for ""Initiator"" or ""Approver.""","Permissions: Access restriction (e.g., can a ""Viewer"" see the ""Approve"" button?).",,Not yet implemented,,,
B2B Customer B2B,Member Management,"As a Merchant Owner, I want a central user management view so that I can monitor and edit the access levels of all my team members.","• Owner can Edit, Delete, or Add users.
.- A central list displays all users and their active roles.",CRUD: Database synchronization of user roles.,,,,,
B2B Customer B2B,Activity Logs,"As a Compliance Officer, I want every system action to be logged so that we have a complete audit trail for security investigations.","• Every action taken by every user (Login, Export, Approval, Rejection) must be timestamped and logged.",Audit: Log accuracy and read-only integrity.,,Not yet implemented,,,
B2B Customer B2B,Product-Specific Views,"As a Merchant, I want a categorized view of my payment services so that I can easily navigate between different product transaction logs.","• Tabbed or List view for: Static VA, Dynamic VA, Fund Transfer/Payout, Pay with WayaBank, B2B VAS, POS, and Bulk Transfer.",UI/UX: Navigation between high-volume data tables.,,"the page fails to load and displays the error message ""Failed to load products and service"". No data is displayed",,,
B2B Customer B2B,POS Detailed Logs,"As a Merchant, I want to see detailed transaction metadata so that I can accurately reconcile payments and identify senders.","• Show: Bank A/C, POS ID, Date/Time, Amount, Type (Card/Transfer), Sender, Receiver, and Reference.",Data Integrity: Accuracy of POS-to-Web syncing.,,UI done but awaiting  API implemation,,,
B2B Customer B2B,Search & Filter,"As a Merchant, I want advanced search and date filtering so that I can quickly locate specific transactions for support or reconciliation.","• Advanced Search: Amount, A/C Number, Transaction Reference.
• Date Filters: Daily, Weekly, Monthly, Yearly, or Custom Period.",Performance: Query speed for large datasets.,,UI done but awaiting  API implemation,,,
B2B Customer B2B,Reporting,"As a Merchant, I want to generate and export my financial data so that I can perform offline audits or share reports with my accounting team.","• Functionality to View, Export (Excel/PDF), and Print any filtered list.","Export: Document formatting, Print styling.",,,,,
B2B Customer B2B,Initiation,"As an Initiator, I want to use standard payment templates so that I can upload large batches of transactions without manual data entry.","• Download standard CSV/Excel template.
• Upload filled template; system must parse and display Total Count and Total Value.","Functional: File parsing, error handling for bad data.",,Not yet implemented,,,
B2B Customer B2B,Workflow Routing,"As an Approver, I want to be notified of new pending uploads so that I can review and authorize payments promptly.","• Once initiated, the ""Owner/Approver"" receives an email notification.
• Request is logged in the ""Approval Request Log"" with Time, Date, Sender, and Summary.","Integration: Notification engine, status transitions.",,Not yet implemented,,,
B2B Customer B2B,Granular Review,"As an Approver, I want to review and modify specific items within a bulk file so that I can filter out errors without rejecting the entire batch.","• Approver can open the request and see every line item.
• Line-Item Control: Approver can ""Accept"" or ""Remove"" specific lines. Stats (Count/Volume) must update in real-time as items are removed.",Logic: Real-time calculation on the frontend/backend.,,Not yet implemented,,,
B2B Customer B2B,Final Authorization,"As an Approver, I want to perform a final secure authorization so that I can safely release bulk funds to the system for processing.","• Approver can ""Approve All"" or ""Reject All.""
• Approval requires Account Password + Transaction PIN + OTP validation.",Security: Multi-factor authentication (MFA).,,,,,
B2B Customer B2B,Results & History,"As a Merchant, I want a detailed breakdown of processed vs. failed lines so that I can troubleshoot issues and reconcile my balances.","• Success/Failure response provided per line item.
• History view showing processed vs. failed transactions for reconciliation.",Financial: Accurate balance deduction and failure logging.,,,,,
B2B Customer B2B,POS Transactions,"Bank A/C, POS ID, Date, Time, Amount, Payment Type (Card vs. Transfer), Description, Sender, Receiver, Reference.",• Must show listing details of the physical terminal associated with the merchant.,,,,,,
B2B Customer B2B,Virtual Accounts,Credit and Debit history for Static and Dynamic VA products.,• Must clearly distinguish between account creation and actual funds received.,,,,,,
B2B Customer B2B,Fund Transfer / Payout,Credit and Debit history of the Payout product.,• Must show real-time status of outbound transfers to external banks.,,,,,,
B2B Customer B2B,Pay with WayaBank,Credit and Debit history of internal WayaBank transfers.,• Must capture sender/receiver wallet details within the ecosystem.,,,,,,
B2B Customer B2B,B2B VAS (Bills),"Credit and Debit history for Bill Payments (Utility, Airtime, etc.).",• Must include biller-specific tokens or confirmation references.,,,,,,
B2B Customer B2B,Bulk Transfer,Full history of processed bulk files.,• Must link back to the Bulk Request ID and show successful vs. failed lines.,,,,,,
B2B Customer B2B,Master Bank Account,"Source/Destination A/C, Time, Date, Ref Number, Amount, Description, Receiver, Sender.",• Comprehensive View: This is the primary ledger showing all movement in the merchant's core bank account.,,,,,,
